codigo;nome;grupo_id;preco
4.173;PERA PORTUGUESA KG;12;14,99
4.278;MOCOTO KG;12;14,9
4.176;LARANJA  PERA KG;12;3,49
4.177;COCO SECO KG;12;9,99
1.261;ABOBRINHA BRASILEIRA;12;4,99
1.270;MORTADELA   DEFUMADA KG;12;34,99
1.281;BACON PEDACO 1KG;12;34,9
1.283;SALSICHA PERDIGAO KG;12;16,9
1.284;QUEIJO PRATO;12;55,9
1.620;GOIABA VERMELHA KG;12;8,99
1.663;MEXIRICA PONKAN KG;12;5,49
1.752;ABACAXI HAVAI unidade;12;4,99
1.771;APRESUNTADO SADIA KG;12;29,99
1.793;VAJEM KG;12;25,99
1.894;SALAME FATIADO SADIA kg;12;129,99
1.896;EMPANADOS DE FRANGO KG;12;29,9
1.898;LINGUI큐 NOBRE KG;12;18,9
1.899;MORTANDELA TRADICIONAL KG;12;29,99
1.901;SALSICHA AURORA KG;12;15,9
1.903;COXA /SOBRE COXA RESF;12;9,9
1.905;ALCATRA KG.;12;27,9
1.907;PICANHA ;12;58,9
1.908;MAMINHA kg;12;38,9
1.909;FRALDINHA 1 KG;12;31,9
1.910;CONTRA FILE KG;12;35,9
1.913;COSTELA PONTA DE PEITOKG;12;19,9
1.918;LINGUICA SUINA FINAKG;12;26,9
1.929;SETE paletakg;12;27,9
1.930;MUSCULO KG;12;25,9
1.932;presunto KG;12;39,99
1.979;ASA DE FRANGO KG;12;16,9
2.052;CORACAO  DE FRANGO SADIA 1KG;12;26,9
2.069;queijo fresco coronata kg;12;49,99
2.071;FILE DE PEITO FRANGO KG;12;18,9
2.226;LING APIMENTADA SUINA KG;12;26,9
2.227;TOUCINHO SUINO KG;12;18,9
2.228;BISTECA SUINA 1kg;12;18,9
2.607;FIGADO BOVINOKG;12;16,9
2.693;COXINHA DA ASA KG;12;15,9
2.782;OVO UN;12;0
2.841;beterraba KG;12;5,99
2.867;lingui網 cal. aurora;12;13,99
3.829;FARINHA DE ROSCA KG;12;9,9
3.953;AZEITONAS  VERDE ;12;14,99
4.179;MARACUJA  AZEDO KG;12;12,99
4.180;PESSEGO KG;12;9,9
4.181;MELAO KG;12;7,99
4.182;BATATA  LIZA KG;12;6,99
4.183;TOMATE KG;12;6,99
4.184;CEBOLA  KG;12;4,99
4.185;PEPINO JAPONES KG;12;6,99
4.186;PEPINO  CAIPIRA KG;12;5,99
4.187;ABOBORA CABOTIAN KG;12;4,99
4.188;BATATA DOCE KG;12;4,99
4.197;atem糟a;12;6,99
4.199;MELANCIA KG;12;3,49
4.200;MANGA  TOMY kg;12;6,99
4.202;LIMAO TAITY KG;12;6,99
4.203;ALHO  KG;12;29,9
4.204;ALFACE UND;12;4
4.279;RABANETE KG;12;8,9
4.250;CHEIRO VERDE UND;12;3,5
4.253;BANANA NANICA kg;12;4,9
4.254;BANANA PRATA KG;12;5,49
4.261;MANDIOQUINHA SALSA KG;12;17,9
4.262;cenoura kg;12;7,99
4.263;REPOLHO VERDE KG;12;4,99
4.264;UVA KG;12;14,99
4.265;COXAO MOLE kl;12;33,9
4.266;COXAO DURO;12;23,99
4.267;PATINHO KL;12;32,9
4.269;MIOLO DO sete kg;12;29,9
4.270;ACEM KG.;12;29,9
4.273;PONTA DE PEITO ;12;14,99
4.284;LAGARTO KL;12;31,9
4.286;FILE MIGNON kg;12;49,9
4.288;BISTECA DO CONTRAKG;12;29,9
4.289;CUPIMKG;12;33,9
4.291;PERNIL KG;12;13,9
4.293;BARRIGA suina panceta KG;12;25,9
4.294;COSTELA GAUCHA KG;12;28,9
4.296;BUCHO 1kg;12;21,9
4.297;SOBRECOXA KG;12;14,9
4.302;PICANHA FATIADA;12;37,9
4.303;CARA / INHAME KG;12;8,99
4.305;FRANGO PASSARINHO KG;12;14,9
4.307;LINGUI큐 AURORA TOSCANA KG;12;23,9
4.308;LINGUICA SADIA kg;12;19,9
4.310;LINGUICA   PERDIGAO TOSCANA K;12;23,9
4.311;LING  APIMENTADA perdig伋 KG;12;25,9
4.312;LING FINA DE FRANGO;12;26,99
4.315;SALSICHA SADIA KG;12;17,9
4.317;MUSSARELA KG;12;54,9
4.322;MORTADELA MARBA KG;12;29,99
5.127;COSTELLA PA KG;12;16,9
5.129;CARNE SECA KG;12;38,9
5.283;BERINGELA KG;12;5,99
5.449;ORELHA DE PORCO SALGADA ;12;17,99
5.450;COSTELINHA DE PORCO SALGADA K;12;25,9
5.478;carne seca KG;12;38,9
5.533;CHUCHUkg;12;3,99
5.535;GENGIBRE KG;12;19,99
5.712;caqui KG.;12;8,99
5.748;COGUMELO EM  CONSERVA  KG;12;49,99
5.931;LINGUI큐 CALABRESA SADIA KG;12;27,9
6.012;LINGUI큐 DA PROMO큐O KG;12;18,9
6.064;PIMENTAO KG;12;9,99
6.195;FRANGO INTEIRO KG;12;8,9
6.281;LINGUI큐 CABO DE REIO KG;12;26,9
6.373;MA FUJI KG;12;12,9
6.432;ABACATE KG;12;5,99
7.035;lingui網 assada;12;23
7.053;AZEITONAS  PRETAS KG;12;34,99
6.553;LINGUI큐 SUINA MARCHIORI;12;10,99
7.079;CALABRESA PROMOCAO KG;12;24,99
6.555;PICANHA ESPECIALKG;12;64,9
6.688;AZEITONAS  FATIADAS  KG;12;39,99
6.713;MILHO VERDE UND;12;5,99
6.883;CARAMBOLA KG;12;7,99
7.289;mamao  papaia kg;12;11,99
7.395;SALAME TIPO ITALIANO kg;12;89,9
7.459;AMEIXA  KG;12;15,99
7.757;p伋 de forma slin nutrella;12;4,99
8.263;TULIPA MEIO DA ASA KG;12;25,9
9.387;carne assada  fraldinha;12;3,99
9.956;abacaxi unidade;12;6,99
10.018; fraldinha assada;12;30
